x,y,z,yaw
-0.853381872177124,10.169989585876465,-0.0002865120768547058,-0.077726349234581
-0.8581299185752869,6.669992446899414,-0.0002865120768547058,-0.077726349234581
-0.8628779649734497,3.1699953079223633,-0.0002865120768547058,-0.077726349234581
-0.8676260113716125,-0.33000147342681885,-0.0002865120768547058,-0.077726349234581
-0.8723739981651306,-3.82999849319458,-0.0002865120768547058,179.92227172851562
-0.8771220445632935,-7.329995155334473,-0.0002865120768547058,179.92227172851562
-0.8818700909614563,-10.829992294311523,-0.0002865120768547058,179.92227172851562
-0.8866181373596191,-14.329989433288574,-0.0002865120768547058,179.92227172851562
0.14661720395088196,10.168632507324219,-0.0006856475956737995,-0.077726349234581
0.1418691724538803,6.668635845184326,-0.0006856475956737995,-0.077726349234581
0.13712114095687866,3.1686387062072754,-0.0006856475956737995,-0.077726349234581
0.13237310945987701,-0.33135807514190674,-0.0006856475956737995,-0.077726349234581
0.12762509286403656,-3.831355094909668,-0.0006856475956737995,179.92227172851562
0.12287705391645432,-7.3313517570495605,-0.0006856475956737995,179.92227172851562
0.11812902241945267,-10.831348419189453,-0.0006856475956737995,179.92227172851562
0.11338099092245102,-14.33134651184082,-0.0006856475956737995,179.92227172851562
1.1466163396835327,10.167276382446289,-0.0010847831144928932,-0.077726349234581
1.141868233680725,6.667279243469238,-0.0010847831144928932,-0.077726349234581
1.137120246887207,3.1672821044921875,-0.0010847831144928932,-0.077726349234581
1.132372260093689,-0.33271467685699463,-0.0010847831144928932,-0.077726349234581
1.1276241540908813,-3.832711696624756,-0.0010847831144928932,179.92227172851562
1.1228761672973633,-7.332708358764648,-0.0010847831144928932,179.92227172851562
1.1181281805038452,-10.8327054977417,-0.0010847831144928932,179.92227172851562
1.1133800745010376,-14.33270263671875,-0.0010847831144928932,179.92227172851562
2.1466152667999268,10.16592025756836,-0.0014839187497273088,-0.077726349234581
2.1418673992156982,6.66592264175415,-0.0014839187497273088,-0.077726349234581
2.1371192932128906,3.1659255027770996,-0.0014839187497273088,-0.077726349234581
